Flat profile:

Each sample counts as 0.02 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 17.83   2239.70  2239.70  4044256     0.00     0.00  MapTopo
  9.47   3429.84  1190.14  7333229     0.00     0.00  WaveAmp_Compute
  9.17   4581.64  1151.80    88365     0.00     0.00  FractRecurse
  7.18   5483.96   902.32  5267876     0.00     0.00  FractPoly_Divide
  4.70   6074.44   590.48 18626502     0.00     0.00  convertpt
  3.15   6470.16   395.72 26715013     0.00     0.00  findposvector
  3.01   6848.92   378.76  4044256     0.00     0.00  Face_Compute
  2.55   7169.22   320.30 73535011     0.00     0.00  swmem
  2.52   7485.88   316.66 18626500     0.00     0.00  RotatePoint
  2.51   7800.82   314.94 12132768     0.00     0.00  getdblscrncoords
  2.49   8113.88   313.06                             __ieee754_exp
  2.46   8423.26   309.38 43958352     0.00     0.00  __static__rng__.home.developer.amiga.gcc.projects.libnix.sources.math.extra.rand48.c__rand48.c
  2.18   8697.58   274.32                             cexp
  2.16   8968.52   270.94                             exp
  2.05   9226.36   257.84 18626499     0.00     0.00  getscrnpt
  1.98   9474.84   248.48  7346029     0.00     0.00  setface
  1.91   9714.56   239.72 22670757     0.00     0.00  VectorMagnitude
  1.66   9923.30   208.74 111385160     0.00     0.00  sin
  1.62  10126.80   203.50  4044256     0.00     0.00  FractPoint_Sort
  1.47  10311.60   184.80 43958352     0.00     0.00  drand48
  1.44  10492.62   181.02 93065122     0.00     0.00  cos
  1.42  10671.04   178.42  2444420     0.00     0.00  WaterEco_Set
  1.17  10818.28   147.24 55879689     0.00     0.00  __adddf3
  1.14  10961.70   143.42  4021985     0.00     0.00  memset
  1.02  11090.44   128.74       20     0.01     0.06  MapCloudLayer
  1.01  11216.86   126.42 55879689     0.00     0.00  __ledf2
  0.98  11339.76   122.90  6493704     0.00     0.00  getscrncoords
  0.90  11452.46   112.70 55879689     0.00     0.00  __muldf3
  0.82  11555.12   102.66 12131984     0.00     0.00  findangle
  0.78  11652.82    97.70   101753     0.00     0.00  ComputeTextureColor
  0.69  11739.46    86.64  4044256     0.00     0.00  VectorAngle
  0.68  11824.94    85.48  4044256     0.00     0.00  SurfaceNormal
  0.64  11904.74    79.80                             finite
  0.60  11980.16    75.42                             cimag
  0.59  12054.44    74.28  4044256     0.00     0.00  ACos_Table
  0.54  12122.48    68.04  1599836     0.00     0.00  ecoset
